    Nasion	78	0.315772	9.050142	0.000000
      Left	76	-6.672964	0.000000	-0.000000
     Right	82	6.672964	-0.000000	0.000000
        F7	69	-6.037982	6.367048	4.319882
        C5	69	-6.699782	2.155084	8.506571
        Fz	69	0.246231	8.721723	10.316833
       F3A	69	-3.250437	9.720578	5.911353
        F1	69	-1.708955	8.796163	9.782022
        F5	69	-5.124611	7.670965	6.390680
       C1A	69	-2.185352	6.386558	11.823852
       C3A	69	-4.461506	6.172830	10.179628
       C5A	69	-6.735288	5.139266	7.472328
       Fp1	69	-2.759503	9.499158	3.377193
        F3	69	-3.675483	8.594835	8.488358
       CZA	69	-0.046459	6.353436	12.617018
       Fp2	69	3.432305	9.249283	3.254234
        F4	69	4.559260	7.630838	9.304662
        C4	69	5.423925	2.615268	12.078911
        F8	69	6.634672	5.390807	4.856583
        T4	69	7.451251	0.811229	6.709445
        Cz	69	0.172888	3.728432	14.383917
       Fpz	69	0.643352	10.276821	3.329112
       F4A	69	4.365869	9.223080	6.223696
        F2	69	2.299062	8.941098	9.720611
        F6	69	5.863415	7.303947	6.675682
       C2A	69	2.923029	6.077483	12.064863
       C4A	69	4.836634	5.794793	10.854521
       C6A	69	6.959893	4.553841	7.729560
        C2	69	2.970325	3.270258	13.808484
        C3	69	-5.353951	3.298367	11.520657
        C6	69	7.231327	1.892960	8.795976
        T3	69	-7.137878	-0.183280	7.045209
        A2	69	6.940012	-3.048743	-1.417376
        C1	69	-2.863441	3.466152	13.622113
    R_mass	69	5.706901	0.819327	-3.385603
       C1P	69	-3.502114	0.733695	14.430470
       C3P	69	-5.453512	0.527465	12.529007
      TCP1	69	-6.526342	0.106628	10.197007
       T3L	69	-6.984420	-0.574596	7.278453
        P1	69	-3.301347	-1.969923	14.072402
        P3	69	-4.944181	-2.327682	12.161263
        P5	69	-5.746031	-2.873293	10.061667
        T5	69	-6.059329	-3.857033	8.011287
       P1P	69	-0.429041	-4.649065	12.834533
       P3P	69	-2.786597	-4.446001	12.518089
       CB1	69	-4.418149	-4.960315	10.050617
        O1	69	-0.811348	-6.894541	10.673660
       PZA	69	-0.340359	1.330175	15.285386
        Pz	69	-0.653197	-2.055649	14.765916
        O2	69	4.360790	-5.900755	9.660142
       C2P	69	2.018138	0.764484	15.349454
       C4P	69	5.338191	0.581931	13.366700
      TCP2	69	7.873487	-0.838266	10.370255
       T4L	69	7.174596	-2.091462	6.837076
        P2	69	2.185051	-1.998135	14.753249
        P4	69	4.495465	-2.549090	13.084474
        P6	69	5.978067	-3.140311	10.577817
        T6	69	6.290988	-3.732049	8.288452
       P2P	69	3.326320	-4.727647	12.027169
       P4P	69	3.714074	-4.843071	11.825611
       PZP	69	1.376477	-4.954117	12.450267
        Oz	69	1.520718	-6.694559	11.328948
       CB2	69	4.597125	-5.644491	9.718284
       EOG	69	-6.061646	4.345318	-2.569613
      R_Or	69	1.977808	2.037790	-8.421231
      REDC	69	20.238485	-8.252245	-48.826134
      LEDC	69	-13.406289	-10.052842	-51.758907
      RFDS	69	16.091854	-10.635201	-47.505543
      RAPB	69	3.023316	-2.488422	-60.407063
      LAPB	69	2.709469	-9.377318	-62.828762
  Centroid	67	0.000000	0.000000	0.000000
      REF.	88	6.672964	-0.000000	0.000000
