       127    135.730    75.000
        95   -11.910    150.000
        63   -159.551    75.000
        64   -159.551   -100.000
        32   -11.910   -175.000
       128    135.730   -100.000
       124    307.978    50.000
       123    234.157    175.000
        94    135.730    275.000
        93   -11.910    300.000
        92   -159.551    275.000
        59   -257.978    175.000
        60   -331.798    50.000
        61   -331.798   -75.000
        62   -257.978   -200.000
        29   -159.551   -300.000
        30   -11.910   -325.000
        31    135.730   -300.000
       126    234.157   -200.000
       125    283.371   -75.000
       120    455.618    0.000
       119    431.011    125.000
       118    381.798    275.000
        91    258.764    375.000
        90    135.730    450.000
        89   -11.910    450.000
        88   -159.551    450.000
        87   -282.584    375.000
        54   -405.618    275.000
        55   -454.831    125.000
        56   -479.438    0.000
        57   -454.831   -150.000
        58   -405.618   -300.000
        24   -282.584   -400.000
        25   -159.551   -475.000
        26   -11.910   -475.000
        27    135.730   -475.000
        28    258.764   -400.000
       122    381.798   -300.000
       121    431.011   -150.000
       114    627.865    0.000
       113    603.258    150.000
       112    529.438    300.000
        86    431.011    425.000
        85    307.978    525.000
        84    160.337    600.000
        83   -11.910    625.000
        82   -184.157    600.000
        81   -331.798    525.000
        80   -454.831    425.000
        48   -553.258    300.000
        49   -627.079    150.000
        50   -651.685    0.000
        51   -627.079   -175.000
        52   -553.258   -325.000
        53   -454.831   -450.000
        19   -331.798   -550.000
        20   -184.157   -625.000
        21   -11.910   -650.000
        22    160.337   -625.000
        23    307.978   -550.000
       117    431.011   -450.000
       116    529.438   -325.000
       115    603.258   -175.000
        76   -11.910    775.000
        77    184.944    750.000
        78    357.191    675.000
        79    529.438    575.000
       106    652.472    400.000
       107    750.899    225.000
       108    775.506    25.000
        75   -208.764    750.000
        74   -381.011    675.000
        73   -553.258    575.000
        42   -676.292    400.000
        43   -774.719    225.000
        44   -799.326    25.000
        45   -799.326   -150.000
        46   -725.506   -350.000
        47   -627.079   -525.000
        13   -479.438   -650.000
        14   -307.191   -750.000
        15   -110.337   -800.000
        16    86.517   -800.000
        17    283.371   -750.000
        18    455.618   -650.000
       111    603.258   -525.000
       110    701.685   -350.000
       109    775.506   -150.000
         9    12.697   -950.000
        10    234.157   -925.000
        11    455.618   -850.000
        12    627.865   -700.000
       105    800.112   -525.000
       104    898.539   -300.000
       103    923.146   -75.000
         8   -257.978   -925.000
         7   -479.438   -850.000
         6   -651.685   -700.000
        41   -823.933   -525.000
        40   -922.360   -300.000
        39   -946.966   -75.000
        38   -946.966    175.000
        37   -873.146    400.000
        65   -750.112    600.000
        66   -577.865    750.000
        67   -356.404    875.000
        68   -134.944    925.000
        69    111.124    925.000
        70    332.584    875.000
        71    554.045    750.000
        72    726.292    600.000
       101    849.326    400.000
       102    923.146    175.000
        96   -11.910   -25.000
