     1 FP1   -296.703    826.087
     2 FP2   -10.989    826.087
     3 FP3    296.703    826.087
     6 F7A   -450.549    704.348
     7 F3A   -252.747    652.174
    4 FP1P   -142.857    756.522
    5 FP2P    120.879    756.522
     8 F4A    186.813    652.174
     9 F8A    428.571    704.348
    10 F5A   -384.615    530.435
    11 F1A   -142.857    530.435
    12 F2A    76.923    530.435
    13 F6A    296.703    530.435
     14 F7   -670.330    443.478
     15 F5   -472.528    408.696
     16 F3   -296.703    373.913
     17 F1   -142.857    356.522
     18 FZ   -10.989    356.522
     19 F2    142.857    356.522
     20 F4    296.703    373.913
     21 F6    472.527    408.696
     22 F8    626.374    460.870
   23 TF5A   -516.484    321.739
   24 F5A1   -318.681    286.956
   25 F3A1   -208.791    286.956
   26 F1A1   -76.923    286.956
   27 F2A1    76.923    286.956
   28 F4A1    252.747    286.956
   29 F6A1    384.615    286.956
   30 TF6A    560.439    321.739
     31 T1   -692.308    217.391
    32 T3A   -472.528    182.609
    33 F5P   -340.659    165.217
    34 F3P   -208.791    165.217
    35 F1P   -98.901    165.217
    36 FPZ   -10.989    165.217
    37 F2P    98.901    165.217
    38 F4P    208.791    165.217
    39 F6P    362.637    182.609
    40 T4A    582.417    200.000
     41 T2    758.242    252.174
    42 C7A   -582.418    95.652
    43 C5A   -428.571    95.652
    44 C3A   -274.725    95.652
    45 C1A   -76.923    78.261
    46 C2A    76.923    78.261
    47 C4A    208.791    78.261
    48 C6A    406.593    95.652
    49 C8A    582.417    113.043
    50 T3L   -780.220   -26.087
     51 T3   -648.352   -26.087
     52 C5   -516.484   -26.087
     53 C3   -362.637   -26.087
     54 C1   -98.901   -26.087
     55 C2    120.879   -26.087
     56 C4    296.703   -26.087
     57 C6    450.549   -8.696
     58 T4    648.352   -8.696
    59 T4L    824.176    8.696
    60 C7P   -692.308   -147.826
    61 C5P   -516.484   -147.826
    62 C3P   -296.703   -147.826
    63 C1P   -142.857   -147.826
    64 C2P    142.857   -147.826
    65 C4P    318.681   -147.826
    66 C6P    472.527   -147.826
    67 C8P    648.352   -147.826
   68 T5AL   -802.198   -269.565
    69 T5A   -648.352   -252.174
    70 P5A   -494.506   -234.783
    71 P3A   -340.659   -234.783
    72 P1A   -164.835   -234.783
    73 PZA   -10.989   -234.783
    74 P2A    142.857   -234.783
    75 P4A    296.703   -234.783
    76 P6A    472.527   -234.783
    77 T6A    648.352   -269.565
   78 T6AL    824.176   -321.739
   79 TP5A   -714.286   -373.913
   80 P53A   -538.462   -356.522
   81 P31A   -362.637   -356.522
   82 PZ1A   -142.857   -356.522
   83 PZ2A    120.879   -356.522
   84 P24A    296.703   -373.913
   85 P46A    494.505   -391.304
   86 PT6A    670.330   -391.304
    87 T5L   -758.242   -565.217
     88 T5   -604.396   -547.826
     89 P5   -472.528   -530.435
     90 P3   -340.659   -513.044
     91 P1   -186.813   -513.044
     92 PZ   -10.989   -513.044
     93 P2    142.857   -513.044
     94 P4    318.681   -530.435
     95 P6    472.527   -530.435
     96 T6    626.374   -582.609
    97 T6L    736.264   -617.391
    98 P5P   -340.659   -617.391
    99 P1P   -120.879   -600.000
   100 P2P    120.879   -600.000
   101 P6P    406.593   -634.783
 102  T7L1   -472.528   -652.174
    103 T7   -252.747   -704.348
   104 P3P   -120.879   -686.957
   105 PZP   -10.989   -686.957
   106 P4P    164.835   -686.957
    107 T8    362.637   -721.739
  108 T8L1    560.439   -721.739
   111 T7L   -428.571   -808.696
    112 O1   -252.747   -791.304
    113 OZ   -76.923   -773.913
    114 O2    142.857   -773.913
   115 T8L    384.615   -826.087
  116 OZ1P   -98.901   -860.870
  117 OZ2P    98.901   -860.870
   118 O1P   -230.769   -878.261
   119 OZP   -10.989   -895.652
   120 O2P    230.769   -860.870
   109 O1A   -113.573   -815.730
   110 O2A    157.895   -815.730
