    Nasion	-0.12485	8.515992	0
      Left	-6.426228	0	0
     Right	6.426228	0	0
      HEOL	-5.411962	4.108895	-0.123371
      HEOR	5.381735	4.454741	-0.307032
       Fp1	-2.802587	9.330921	4.6707
       Fp2	2.696228	9.448804	4.677342
      VEOU	-2.66093	8.523378	1.448107
      VEOL	-2.593116	6.546016	-2.204167
        F7	-5.999841	5.746086	3.140928
        F3	-5.116601	6.051271	8.254199
        Fz	-0.259045	6.631912	10.341355
        F4	4.96315	6.190979	8.731788
        F8	6.171143	5.454206	3.712217
       FT7	-6.828875	2.996554	3.250777
       FC3	-6.000988	2.985599	9.005468
       FCz	-0.248763	3.623693	12.060288
       FC4	6.064796	2.80167	9.328594
       FT8	6.874833	2.87325	3.780432
        T3	-7.055173	0.137488	3.253574
        C3	-5.828779	0.415834	10.047568
        Cz	-0.197171	0.570599	12.841794
        C4	5.924782	-0.138374	10.036207
        T4	7.144936	0.231845	3.668653
       TP7	-7.109682	-3.31025	3.954188
       CP3	-5.655722	-2.55958	10.247721
       CPz	0.032651	-3.166574	12.64157
       CP4	5.464266	-3.334608	10.168788
       TP8	6.895125	-2.910123	3.47571
        A1	-6.541707	-2.814476	-2.35632
        T5	-6.25921	-5.626043	4.19118
        P3	-4.886766	-5.594592	9.232394
        Pz	-0.253571	-6.300022	11.14916
        P4	5.164994	-6.004103	8.513229
        T6	6.50382	-5.355898	3.701145
        A2	6.100113	-2.529696	-2.48468
        O1	-2.109576	-9.103417	4.407414
        Oz	0.468197	-9.707411	4.186213
        O2	2.79836	-9.493185	3.792289
       FT9	-6.765418	2.180018	0.902877
      FT10	6.568807	2.769748	0.146621
       PO1	-1.468091	-8.37479	7.656717
       PO2	1.435805	-8.550255	7.522937
  Centroid	0	0	0
      REF.	6.426228	0	0
